,Company Name,Industry,Symbol,Series,ISIN Code,MarketCap
0,360 ONE WAM Ltd.,Financial Services,360ONE.NS,EQ,INE466L01038,184488951808.0
1,3M India Ltd.,Diversified,3MINDIA.NS,EQ,INE470A01017,315599650816.0
2,ABB India Ltd.,Capital Goods,ABB.NS,EQ,INE117A01022,911340208128.0
3,ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025,331828658176.0
4,AIA Engineering Ltd.,Capital Goods,AIAENG.NS,EQ,INE212H01026,331314528256.0
5,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,EQ,INE702C01027,395141218304.0
6,AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017,511800573952.0
7,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS.NS,EQ,INE767A01016,47319048192.0
8,Aarti Industries Ltd.,Chemicals,AARTIIND.NS,EQ,INE769A01020,170521886720.0
9,Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ,INE216P01012,124528336896.0
10,Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,EQ,INE358A01014,496848437248.0
11,Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS,EQ,INE423A01024,2754992668672.0
12,Adani Green Energy Ltd.,Power,ADANIGREEN.NS,EQ,INE364U01010,1577060663296.0
13,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,EQ,INE742F01042,1573554094080.0
14,Adani Power Ltd.,Power,ADANIPOWER.NS,EQ,INE814H01011,932415275008.0
15,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS,EQ,INE399L01023,699699167232.0
16,Adani Transmission Ltd.,Power,ADANITRANS.NS,EQ,INE931S01010,864726286336.0
17,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL.NS,EQ,INE699H01024,519677050880.0
18,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013,482368389120.0
19,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,EQ,INE647O01011,202202497024.0
20,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS,EQ,INE208C01025,126308384768.0
21,Aether Industries Ltd.,Chemicals,AETHER.NS,EQ,INE0BWX01014,141409746944.0
22,Affle (India) Ltd.,Information Technology,AFFLE.NS,EQ,INE00WC01027,139560058880.0
23,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS,EQ,INE031B01049,177841717248.0
24,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS,EQ,INE901L01018,136128864256.0
25,Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014,442504085504.0
26,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,EQ,INE150B01039,124467462144.0
27,Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT.NS,EQ,INE885A01032,106612310016.0
28,Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ,INE371P01015,75157192704.0
29,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,EQ,INE079A01024,826324680704.0
30,Angel One Ltd.,Financial Services,ANGELONE.NS,EQ,INE732I01013,136140488704.0
31,Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,EQ,INE930P01018,105435316224.0
32,Apar Industries Ltd.,Capital Goods,APARINDS.NS,EQ,INE372A01015,141348896768.0
33,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,EQ,INE437A01024,748386516992.0
34,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,EQ,INE438A01022,268313985024.0
35,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,EQ,INE852O01025,135717396480.0
36,Archean Chemical Industries Ltd.,Chemicals,ACI.NS,EQ,INE128X01021,65217974272.0
37,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,EQ,INE439A01020,136021008384.0
38,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029,537032163328.0
39,Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026,3423939067904.0
40,Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,EQ,INE914M01019,152151343104.0
41,Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046,516393172992.0
42,Atul Ltd.,Chemicals,ATUL.NS,EQ,INE100A01010,207014215680.0
43,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037,456768749568.0
44,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,EQ,INE871C01038,54927212544.0
45,Avenue Supermarts Ltd.,Consumer Services,DMART.NS,EQ,INE192R01011,2391899111424.0
46,Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034,2992575086592.0
47,BASF India Ltd.,Chemicals,BASF.NS,EQ,INE373A01013,113153613824.0
48,BEML Ltd.,Capital Goods,BEML.NS,EQ,INE258A01016,70083526656.0
49,BLS International Services Ltd.,Consumer Services,BLS.NS,EQ,INE153T01027,89024692224.0
50,BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025,99780444160.0
51,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,EQ,INE917I01010,1375935004672.0
52,Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,EQ,INE296A01024,4594252382208.0
53,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,EQ,INE918I01026,2600836005888.0
54,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,EQ,INE118A01012,825400819712.0
55,Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ,INE050E01027,71069949952.0
56,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,EQ,INE787D01026,467034505216.0
57,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ,INE119A01028,79025086464.0
58,Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,EQ,INE545U01014,351250317312.0
59,Bank of Baroda,Financial Services,BANKBARODA.NS,EQ,INE028A01039,1016689328128.0
60,Bank of India,Financial Services,BANKINDIA.NS,EQ,INE084A01016,346837843968.0
61,Bank of Maharashtra,Financial Services,MAHABANK.NS,EQ,INE457A01014,242536923136.0
62,Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ,INE176A01028,216421416960.0
63,Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,EQ,INE462A01022,207241494528.0
64,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS,EQ,INE463A01038,671347900416.0
65,Bharat Dynamics Ltd.,Capital Goods,BDL.NS,EQ,INE171Z01018,216079122432.0
66,Bharat Electronics Ltd.,Capital Goods,BEL.NS,EQ,INE263A01024,913357012992.0
67,Bharat Forge Ltd.,Capital Goods,BHARATFORG.NS,EQ,INE465A01025,398537785344.0
68,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,EQ,INE257A01026,335529803776.0
69,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,EQ,INE029A01011,847417507840.0
70,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,EQ,INE397D01024,5143735042048.0
71,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,EQ,INE00E101023,115486220288.0
72,Biocon Ltd.,Healthcare,BIOCON.NS,EQ,INE376G01013,317318037504.0
73,Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ,INE340A01012,92333203456.0
74,Birlasoft Ltd.,Information Technology,BSOFT.NS,EQ,INE836A01035,106187309056.0
75,Blue Dart Express Ltd.,Services,BLUEDART.NS,EQ,INE233B01017,171627462656.0
76,Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ,INE472A01039,152243535872.0
77,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,EQ,INE050A01025,76724559872.0
78,Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,EQ,INE666D01022,65573593088.0
79,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,EQ,INE323A01026,563727826944.0
80,Brigade Enterprises Ltd.,Realty,BRIGADE.NS,EQ,INE791I01019,132625195008.0
81,Brightcom Group Ltd.,Information Technology,BCG.NS,EQ,INE425B01027,53389856768.0
82,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,EQ,INE216A01030,1215660818432.0
83,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,EQ,INE0BV301023,78028169216.0
84,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,EQ,INE421D01022,83481722880.0
85,CESC Ltd.,Power,CESC.NS,EQ,INE486A01021,99351470080.0
86,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,EQ,INE067A01029,623186149376.0
